text,language
things that go bump in the night,English
keep it under your hat,English
die laaitie se hakskene word rooi,Afrikaans
earmark,English
bums on seats,English
riddle wrapped up in an enigma  a,English
a thing of beauty is a joy forever,English
cor blimey,English
level playing field,English
as jy nie uit jou foute leer nie is daar geen sin om hulle te maak nie,Afrikaans
call of the wild  the,English
curry favour,English
bandy words,English
what are you like,English
technicolor yawn,English
nuuskierige agies hoort in die wolwehok,Afrikaans
more honoured in the breach than in the observance,English
black sheep of the family,English
as jy by iemand se vuur gaan sit moet jy eers kyk van watter kant die wind waai,Afrikaans
feather in ones cap  a,English
tits up,English
beware of greeks bearing gifts,English
as armoede by die voordeur inkom gaan liefde by die agterdeur uit,Afrikaans
geld in die water gooi,Afrikaans
poetic justice,English
waar bloed nie kan kruip nie loop dit,Afrikaans
’n dronk man val nie ver van die bar nie,Afrikaans
waar jy nie die daad kan weglieg nie kan jy altyd ‘n ekskuus bylieg,Afrikaans
run the gauntlet,English
die lewe is nie net swart en wit nie,Afrikaans
mal de mer,English
wish you were here,English
young turk,English
no truck with,English
no rest for the wicked,English
win hands down,English
verskoon my frans,Afrikaans
as happy as a sandboy,English
the pot calling the kettle black,English
tanstaafl  theres no such thing as a free lunch,English
politically correct,English
lardydardy,English
bobs your uncle,English
as busy as a bee,English
suspension of disbelief,English
as die muis dik is is die kaas bitter,Afrikaans
a drop in the ocean,English
red tape,English
ones hearts content,English
action man,English
elementary my dear watson,English
flogging a dead horse,English
point to point,English
gert erf is gert swerf,Afrikaans
friday afternoon car,English
identity theft,English
the pen is mightier than the sword,English
first water,English
jors praat al weer engels,Afrikaans
innocent until proven guilty,English
jump the gun,English
boogiewoogie,English
dont have a clue,English
man after my own heart  a,English
above board,English
moet nooit ‘n apologie met ‘n verskoning bederf nie,Afrikaans
horses mouth  straight from the,English
die moeilikste besluite in die lewe is om te besluit watter brûe om oor te steek en watter om te verbrand,Afrikaans
a good man is hard to find,English
cost an arm and a leg,English
as good luck would have it,English
in the cart,English
butter wouldnt melt in his mouth,English
all at sea,English
‘n duit in die armbeurs gooi,Afrikaans
run out of steam,English
like being savaged by a dead sheep,English
richard the third,English
in the twinkling of an eye,English
to the nth degree,English
frailty thy name is woman,English
up the wooden hill to bedfordshire,English
nul points,English
some men are born mediocre some men achieve mediocrity and some men have mediocrity thrust upon them,English
as happy as a clam,English
wat is die belangrikste – geluk of sukses,Afrikaans
the writing is on the wall,English
maak die pas van die natuur jou eie – haar geheim is geduld en volharding,Afrikaans
grace of god  there but for,English
hie vlie woerts om die hoekie,Afrikaans
cock a snook,English
weasel words,English
whole nine yards  the,English
get on my wick,English
guinea pig,English
dutch  my old,English
platsak wees,Afrikaans
gone for a burton,English
kickin  alive and,English
redhanded caught,English
knight in shining armour,English
household words,English
so tussen die by en die koek,Afrikaans
a knight in shining armour,English
beetlebrowed,English
wrong end of the stick  the,English
forbidden fruit,English
chain is only as strong as its weakest link  a,English
shakespeare phrases and sayings of,English
fait accompli,English
blonde bombshell,English
dis nie alle goud wat blink nie,Afrikaans
we know where you live,English
la dolce vita,English
batten down the hatches,English
prick up your ears,English
waar jy nie self by is nie word jou gesig nie gewas nie,Afrikaans
acronyms,English
nooit gedink my blindederm sal lank genoeg wees nie,Afrikaans
raze to the ground,English
vir ‘n man horings opsit,Afrikaans
bottomup,English
wholehearted,English
green eyed monster,English
stitch in time saves nine  a,English
better to have loved and lost than never to have loved at all,English
skat jou bekwaamheid te min om mee te spog en jou karakter te goed om mee te speel dan sal jy jou selfrespek bewaar en die respek van jou medemens verseker daar is maar een soort wat hul deugde onderskat – dis die werklik bekwames,Afrikaans
jy hou jou rammetjieuitnek,Afrikaans
women and children first,English
ill wind,English
fellow traveller,English
aidemémoire,English
one over the eight,English
trip the light fantastic,English
out of sight out of mind,English
born again,English
hy lag al die pad bank toe,Afrikaans
word for word,English
strait and narrow,English
by your leave,English
counting sheep,English
geen nieuws goed nieuws,Nederlands
storm in a teacup,English
close but no cigar,English
put the mockers on,English
jy moet onder sy arm gaan ruik,Afrikaans
pound of flesh,English
best bib and tucker,English
stool pigeon,English
lifes not all beer and skittles,English
how sharper than a serpents tooth it is to have a thankless child,English
go haywire,English
im stumped,English
rank and file,English
zoals de waard is vertrouwt hij zijn gasten,Nederlands
eaten out of house and home,English
butter side down,English
silly season,English
rise and shine,English
sy is so klein sy verdwaal in ‘n telefoonhokkie,Afrikaans
cut the mustard,English
whole kit and caboodle  the,English
on the ball,English
pigs might fly,English
browned off,English
iets is beter as niks,Afrikaans
they couldnt hit an elephant at this distance,English
cloud nine,English
show a leg  see shake a leg,English
bewaar jou gebeente,Afrikaans
haar haan moet altyd koning kraai,Afrikaans
daniel come to judgement,English
up in arms,English
blot on the landscape,English
is this a dagger which i see before me,English
butterfingers,English
marry in haste repent at leisure,English
colour up,English
ons is wat ons herhaaldelik doen perfeksie is derhalwe nie ‘n daad nie maar ‘n gewoonte,Afrikaans
as cold as any stone,English
a word in your shelllike,English
to boldly go where no man has gone before,English
daylight robbery,English
hy is gedwee soos ‘n delwersdonkie,Afrikaans
you can lead a whore to culture but you cant make her think,English
dit is met geen goud te betaal nie,Afrikaans
oude liefde roest niet,Nederlands
happy as larry,English
derringdo,English
a man after my own heart,English
the skys the limit,English
mexican wave,English
dont die like i did,English
hy is blikners gery,Afrikaans
hy is baie kamp,Afrikaans
heebiejeebies  the,English
cold shoulder,English
we are not amused,English
peter out,English
